RF01143	sR16
RF01144	sR17
RF01145	sR14
RF01146	sR15
RF01147	sR12
RF01148	sR13
RF01149	sR10
RF01150	sR11
RF01151	snoU82P
RF01152	sR1
RF01153	sn3060
RF01154	snoU43C
RF01155	snoR101
RF01156	SNORD123
RF01157	sn1185
RF01158	SNORD108
RF01159	snoU18
RF01160	sn2841
RF01161	SNORD5
RF01162	sn668
RF01163	snoR64a
RF01164	SNORD107
RF01165	sn2317
RF01166	sn3071
RF01167	sn2429
RF01168	SNORD126
RF01169	SNORD112
RF01170	snoU61
RF01171	snoR4
RF01172	sn2343
RF01173	snoU105B
RF01174	snoU43
RF01175	snoU83D
RF01176	snR78
RF01177	snR67
RF01178	snoR77Y
RF01179	snoU83
RF01180	snoR110
RF01181	snR77
RF01182	SNORD11
RF01183	SNORD19B
RF01184	snR79
RF01185	snR75
RF01186	SNORD127
RF01187	snoU83C
RF01188	snR56
RF01189	sn1502
RF01190	snR50
RF01191	SNORD121A
RF01192	SNORD11B
RF01193	snoR20a
RF01194	sn2903
RF01195	snR52
RF01196	snoZ30a
RF01197	snR39
RF01198	snoR69Y
RF01199	snR58
RF01200	SNORD125
RF01201	snR40
RF01202	sn2991
RF01203	snR47
RF01204	snR65
RF01205	snR62
RF01206	snoR109
RF01207	snR73
RF01208	snoR99
RF01209	snR76
RF01210	snoU13
RF01211	SNORD124
RF01212	sn2524
RF01213	snoR103
RF01214	snR51
RF01215	snoR97
RF01216	snR87
RF01217	snoR72Y
RF01218	snR41
RF01219	snoR100
RF01220	snoR104
RF01221	snoU6-47
RF01222	sn2417
RF01223	snR13
RF01224	snoR80
RF01225	ACA64
RF01226	snoZ5
RF01227	snoR83
RF01228	snoR111
RF01229	SNORA84
RF01230	snoR77
RF01231	snoR74
RF01232	snoU40
RF01233	snoU109
RF01234	SNORA47
RF01235	snR68
RF01236	snoU19
RF01237	snR161
RF01238	snR70
RF01239	snR49
RF01240	snR85
RF01241	SNORA81
RF01242	snR36
RF01243	snR33
RF01244	snR4
RF01245	snR9
RF01246	snR81
RF01247	snR32
RF01248	snR8
RF01249	snR190
RF01250	snR189
RF01251	snR3
RF01252	snR5
RF01253	snR46
RF01254	snR34
RF01255	snR35
RF01256	snR43
RF01257	snR31
RF01258	snR10
RF01259	snR63
RF01260	snR11
RF01261	snR82
RF01262	snR44
RF01263	snR191
RF01264	snR83
RF01265	snR42
RF01266	snR45
RF01267	snR37
RF01268	snoU2-25
RF01269	snR80
RF01270	snR84
RF01271	snR30
RF01272	snR86
RF01273	sR34
RF01274	sR45
RF01275	sR22
RF01276	sR53
RF01277	snoU54
RF01278	SNORD109A
RF01279	snoR53Y
RF01280	snoR14
RF01281	snoR35
RF01283	snoU30
RF01284	snoR8a
RF01285	snoU31b
RF01286	snoR26
RF01287	snoR27
RF01288	snoR31
RF01289	snoR17
RF01290	snoU6-77
RF01291	snoU97
RF01292	snoR2
RF01293	ACA59
RF01294	snoU89
RF01295	snoU90
RF01296	snoU85
RF01297	sR40
RF01298	snoU35
RF01299	snR39B
RF01300	snoU49
RF01301	snoR4a
RF01302	snoU36a
RF01303	sR49
RF01304	sR5
RF01305	sR51
RF01306	sR52
RF01307	sR55
RF01308	sR58
RF01309	sR60
RF01310	sR7
RF01311	sR8
RF01312	sR9
RF01313	HHBV_epsilon
RF01314	mir-1227
RF01315	CRISPR-DR2
