ID	Mean	SD
PC726	0.000	0.717
PC721	-0.000	0.718
PC720	0.000	0.718
PC723	-0.000	0.718
PC722	0.000	0.718
PC439	0.000	0.810
PC438	0.000	0.810
PC431	0.000	0.813
PC430	-0.000	0.813
PC433	0.000	0.812
PC432	0.000	0.812
PC435	0.000	0.811
PC434	-0.000	0.812
PC437	-0.000	0.810
PC436	0.000	0.811
PC1265	-0.000	0.574
PC545	0.000	0.773
PC544	0.000	0.773
PC547	0.000	0.772
PC546	-0.000	0.773
PC541	-0.000	0.774
PC540	0.000	0.774
PC543	-0.000	0.773
PC542	0.000	0.774
PC549	0.000	0.771
PC548	0.000	0.772
PC25	-0.000	1.576
PC24	-0.000	1.586
PC27	0.000	1.521
PC26	-0.000	1.545
PC21	0.000	1.668
PC20	0.000	1.721
PC976	-0.000	0.648
PC1268	0.000	0.574
PC1269	0.000	0.573
PC1266	-0.000	0.574
PC1267	-0.000	0.574
PC1264	0.000	0.574
PC22	-0.000	1.629
PC1262	0.000	0.575
PC1263	-0.000	0.575
PC1260	-0.000	0.576
PC1261	-0.000	0.576
PC134	-0.000	0.986
PC135	-0.000	0.986
PC136	-0.000	0.985
PC137	-0.000	0.984
PC130	-0.000	0.992
PC131	-0.000	0.990
PC132	0.000	0.989
PC133	0.000	0.987
PC138	0.000	0.983
PC139	0.000	0.982
PC1662	0.000	0.465
PC1663	0.000	0.465
PC1660	0.000	0.466
PC1661	0.000	0.466
PC1666	0.000	0.464
PC1667	0.000	0.463
PC1664	0.000	0.464
PC1665	0.000	0.464
PC1668	0.000	0.463
PC1669	-0.000	0.463
PC1408	-0.000	0.537
PC1409	-0.000	0.537
PC1402	-0.000	0.539
PC1403	0.000	0.538
PC1400	0.000	0.539
PC1401	-0.000	0.539
PC1406	0.000	0.538
PC1407	0.000	0.538
PC1404	0.000	0.538
PC1405	-0.000	0.538
PC1068	-0.000	0.625
PC1069	-0.000	0.625
PC1064	-0.000	0.626
PC1065	-0.000	0.626
PC1066	-0.000	0.626
PC1067	-0.000	0.625
PC1060	0.000	0.627
PC1061	0.000	0.627
PC1062	0.000	0.627
PC1063	-0.000	0.626
PC1316	0.000	0.561
PC1317	0.000	0.561
PC1314	-0.000	0.562
PC1315	-0.000	0.561
PC1312	-0.000	0.562
PC1313	-0.000	0.562
PC1310	-0.000	0.563
PC1311	-0.000	0.562
PC952	0.000	0.654
PC953	-0.000	0.654
PC950	-0.000	0.655
PC951	0.000	0.655
PC956	-0.000	0.654
PC957	-0.000	0.654
PC1318	0.000	0.561
PC955	-0.000	0.654
PC1086	-0.000	0.620
PC1087	0.000	0.620
PC1084	-0.000	0.621
PC1085	0.000	0.620
PC1082	-0.000	0.621
PC1083	0.000	0.621
PC1080	-0.000	0.622
PC1081	0.000	0.622
PC1211	0.000	0.588
PC1088	-0.000	0.620
PC1089	0.000	0.619
PC1210	0.000	0.588
PC1217	0.000	0.587
PC1216	0.000	0.587
PC1215	-0.000	0.587
PC1214	0.000	0.588
PC1888	0.000	0.376
PC1889	0.000	0.375
PC1886	-0.000	0.377
PC1887	0.000	0.376
PC1884	0.000	0.378
PC1885	-0.000	0.377
PC1882	0.000	0.379
PC1883	0.000	0.378
PC1880	-0.000	0.380
PC1881	0.000	0.379
PC602	-0.000	0.754
PC603	0.000	0.754
PC600	-0.000	0.755
PC601	0.000	0.754
PC606	-0.000	0.753
PC607	-0.000	0.753
PC604	-0.000	0.753
PC605	0.000	0.753
PC608	-0.000	0.752
PC609	-0.000	0.752
PC959	0.000	0.653
PC738	-0.000	0.714
PC739	0.000	0.713
PC736	-0.000	0.714
PC737	0.000	0.714
PC734	-0.000	0.715
PC735	0.000	0.715
PC732	-0.000	0.715
PC733	0.000	0.715
PC730	0.000	0.716
PC731	0.000	0.716
PC428	0.000	0.814
PC429	-0.000	0.813
PC422	0.000	0.816
PC423	0.000	0.816
PC420	0.000	0.817
PC421	-0.000	0.817
PC426	-0.000	0.815
PC427	-0.000	0.814
PC424	0.000	0.815
PC425	0.000	0.815
PC556	-0.000	0.769
PC557	-0.000	0.769
PC554	0.000	0.770
PC555	-0.000	0.770
PC552	0.000	0.770
PC553	0.000	0.770
PC550	-0.000	0.771
PC551	0.000	0.771
PC558	0.000	0.769
PC559	-0.000	0.768
PC1279	-0.000	0.571
PC1278	-0.000	0.571
PC1275	-0.000	0.572
PC1274	-0.000	0.572
PC1277	-0.000	0.571
PC1276	-0.000	0.571
PC1271	0.000	0.573
PC958	-0.000	0.653
PC1273	-0.000	0.572
PC1272	0.000	0.573
PC141	0.000	0.979
PC140	-0.000	0.981
PC143	0.000	0.977
PC142	0.000	0.978
PC145	0.000	0.974
PC144	-0.000	0.975
PC147	-0.000	0.973
PC146	-0.000	0.973
PC149	-0.000	0.970
PC148	0.000	0.971
PC387	0.000	0.831
PC386	-0.000	0.831
PC385	0.000	0.831
PC384	0.000	0.832
PC383	0.000	0.833
PC382	-0.000	0.833
PC381	-0.000	0.833
PC380	-0.000	0.834
PC1679	0.000	0.459
PC1678	0.000	0.459
PC389	-0.000	0.829
PC388	-0.000	0.830
PC1419	-0.000	0.534
PC1418	0.000	0.534
PC1411	-0.000	0.536
PC1410	0.000	0.537
PC1413	0.000	0.535
PC1412	0.000	0.536
PC1415	0.000	0.535
PC1414	0.000	0.535
PC1417	0.000	0.534
PC1416	-0.000	0.535
PC954	0.000	0.654
PC1319	0.000	0.560
PC8	0.000	2.764
PC9	0.000	2.640
PC2	0.000	11.366
PC3	-0.000	9.124
PC1	-0.000	25.387
PC6	-0.000	3.752
PC7	-0.000	3.522
PC4	-0.000	5.277
PC5	0.000	4.303
PC1079	0.000	0.622
PC1078	-0.000	0.622
PC1073	0.000	0.624
PC1072	0.000	0.624
PC1071	-0.000	0.624
PC1070	-0.000	0.625
PC1077	-0.000	0.622
PC1076	0.000	0.623
PC1075	-0.000	0.623
PC1074	-0.000	0.623
PC1305	-0.000	0.564
PC1304	-0.000	0.564
PC38	0.000	1.362
PC39	-0.000	1.357
PC1301	-0.000	0.565
PC1300	0.000	0.565
PC1303	-0.000	0.565
PC1302	-0.000	0.565
PC32	0.000	1.449
PC33	-0.000	1.421
PC30	0.000	1.467
PC31	-0.000	1.454
PC1309	-0.000	0.563
PC1308	0.000	0.563
PC34	-0.000	1.410
PC35	-0.000	1.392
PC1095	-0.000	0.618
PC1094	0.000	0.618
PC1097	-0.000	0.618
PC1096	0.000	0.618
PC1091	-0.000	0.619
PC1090	0.000	0.619
PC1093	0.000	0.619
PC1092	-0.000	0.619
PC1099	-0.000	0.617
PC1098	0.000	0.617
PC899	-0.000	0.669
PC898	-0.000	0.669
PC893	0.000	0.671
PC892	-0.000	0.671
PC891	0.000	0.671
PC890	0.000	0.671
PC897	-0.000	0.670
PC896	0.000	0.670
PC895	-0.000	0.670
PC894	-0.000	0.670
PC1899	-0.000	0.368
PC1898	-0.000	0.369
PC1895	0.000	0.371
PC1894	-0.000	0.372
PC1897	0.000	0.369
PC1896	0.000	0.370
PC1891	-0.000	0.374
PC1890	0.000	0.374
PC1893	0.000	0.372
PC1892	-0.000	0.373
PC967	0.000	0.651
PC966	-0.000	0.651
PC965	0.000	0.652
PC964	0.000	0.652
PC963	-0.000	0.652
PC962	-0.000	0.652
PC961	0.000	0.653
PC960	0.000	0.653
PC969	0.000	0.650
PC968	0.000	0.651
PC639	0.000	0.743
PC638	0.000	0.743
PC637	0.000	0.743
PC636	0.000	0.743
PC635	0.000	0.744
PC634	0.000	0.744
PC633	0.000	0.744
PC632	-0.000	0.745
PC631	-0.000	0.745
PC630	0.000	0.745
PC709	0.000	0.722
PC708	0.000	0.722
PC703	-0.000	0.723
PC702	0.000	0.724
PC701	-0.000	0.724
PC700	-0.000	0.724
PC707	-0.000	0.722
PC706	-0.000	0.723
PC705	0.000	0.723
PC704	-0.000	0.723
PC417	0.000	0.818
PC416	-0.000	0.818
PC415	-0.000	0.819
PC414	-0.000	0.819
PC413	-0.000	0.819
PC412	0.000	0.820
PC411	0.000	0.821
PC410	-0.000	0.821
PC419	0.000	0.817
PC418	-0.000	0.818
PC563	0.000	0.766
PC562	0.000	0.767
PC561	-0.000	0.767
PC560	-0.000	0.768
PC567	-0.000	0.766
PC566	0.000	0.766
PC565	0.000	0.766
PC564	0.000	0.766
PC569	0.000	0.765
PC568	-0.000	0.765
PC1693	0.000	0.455
PC1306	0.000	0.564
PC1125	-0.000	0.610
PC1124	0.000	0.610
PC1127	-0.000	0.610
PC1248	0.000	0.579
PC1249	-0.000	0.579
PC1798	0.000	0.417
PC1799	-0.000	0.417
PC1240	0.000	0.581
PC1241	0.000	0.580
PC1242	-0.000	0.580
PC1791	0.000	0.420
PC1796	-0.000	0.418
PC1797	0.000	0.417
PC1794	0.000	0.419
PC1795	-0.000	0.418
PC152	0.000	0.967
PC153	0.000	0.966
PC150	0.000	0.969
PC151	-0.000	0.969
PC156	-0.000	0.963
PC1691	-0.000	0.456
PC154	-0.000	0.964
PC155	0.000	0.963
PC158	0.000	0.961
PC159	0.000	0.959
PC390	-0.000	0.829
PC391	-0.000	0.829
PC392	0.000	0.829
PC393	-0.000	0.828
PC1648	-0.000	0.469
PC1649	-0.000	0.469
PC396	-0.000	0.827
PC397	0.000	0.827
PC1644	0.000	0.471
PC1645	-0.000	0.470
PC1646	-0.000	0.470
PC1647	0.000	0.470
PC1640	-0.000	0.472
PC1641	0.000	0.471
PC1642	-0.000	0.471
PC1643	-0.000	0.471
PC1330	-0.000	0.558
PC1331	0.000	0.557
PC1332	-0.000	0.557
PC1333	-0.000	0.557
PC1334	0.000	0.557
PC1335	-0.000	0.556
PC1336	0.000	0.556
PC1337	-0.000	0.556
PC1338	0.000	0.556
PC1339	0.000	0.555
PC884	-0.000	0.673
PC885	0.000	0.673
PC886	-0.000	0.673
PC887	-0.000	0.672
PC880	0.000	0.674
PC881	0.000	0.674
PC882	0.000	0.673
PC883	0.000	0.673
PC888	-0.000	0.672
PC889	0.000	0.672
PC1424	-0.000	0.533
PC1425	-0.000	0.533
PC1426	-0.000	0.532
PC1427	0.000	0.532
PC1420	-0.000	0.534
PC1421	-0.000	0.534
PC1422	0.000	0.533
PC1423	-0.000	0.533
PC1428	-0.000	0.532
PC1429	0.000	0.531
PC970	-0.000	0.650
PC971	0.000	0.650
PC972	-0.000	0.650
PC973	-0.000	0.649
PC974	-0.000	0.649
PC975	0.000	0.649
PC23	0.000	1.612
PC977	0.000	0.648
PC978	0.000	0.648
PC979	0.000	0.647
PC29	0.000	1.472
PC28	0.000	1.497
PC628	-0.000	0.746
PC629	0.000	0.746
PC620	-0.000	0.749
PC621	-0.000	0.748
PC622	0.000	0.748
PC623	-0.000	0.747
PC624	0.000	0.747
PC625	0.000	0.747
PC626	-0.000	0.746
PC627	-0.000	0.746
PC1936	0.000	0.339
PC1937	-0.000	0.339
PC1934	-0.000	0.342
PC1935	0.000	0.341
PC1932	0.000	0.343
PC1933	0.000	0.342
PC1930	-0.000	0.345
PC1931	0.000	0.344
PC1938	0.000	0.337
PC1939	0.000	0.335
PC714	-0.000	0.721
PC715	0.000	0.720
PC716	0.000	0.720
PC717	0.000	0.720
PC710	-0.000	0.722
PC711	-0.000	0.721
PC712	0.000	0.721
PC713	-0.000	0.721
PC718	0.000	0.719
PC719	0.000	0.719
PC1686	0.000	0.457
PC1756	0.000	0.433
PC400	0.000	0.825
PC401	0.000	0.825
PC402	0.000	0.824
PC403	0.000	0.824
PC404	0.000	0.824
PC405	-0.000	0.823
PC406	-0.000	0.823
PC407	-0.000	0.822
PC408	0.000	0.822
PC409	0.000	0.822
PC1754	-0.000	0.433
PC578	0.000	0.762
PC579	0.000	0.762
PC574	-0.000	0.763
PC575	0.000	0.763
PC576	-0.000	0.762
PC577	-0.000	0.762
PC570	-0.000	0.765
PC571	-0.000	0.764
PC572	-0.000	0.764
PC573	-0.000	0.764
